"year","date_yyyy.mm.dd","survey","team","species","sex","activity_type","km_marker","beach_zone","gpse","gpsn","gps_accuracy_m","nest_id","egg_chamber_triangulated","direction_nesting","north_m","centre_m","south_m","htl_m","triangulated_by","activity_comments","record_type","encounter_activity","encounter_time_hh.mm.ss","turtle_id","right_tag","left_tag","removed_right_tag","removed_left_tag","right_oth_y_n","right_otn_y_n","left_oth_y_n","left_otn_y_n","right_tagger","left_tagger","tagging_comments","ccl_min1_cm","ccl_min2_cm","ccl_min3_cm","ccl_min_avg_cm","ccl_min_measured_by","ccw_max1_cm","ccw_max2_cm","ccw_max3_cm","ccw_max_avg_cm","ccw_max_measured_by","x1","x2","x3","x4","x5","x6","x7","x8","caudal_projection_complete","fibropapillomas","body_check_comments","number_yolked_eggs","number_yolkless_eggs","number_total_eggs","eggs_counted_by","egg_depth_cm","nest_depth_cm","relocated_km_marker","relocated_beach_zone","relocated_north_m","relocated_centre_m","relocated_south_m","relocated_htl_m","relocated_chamber_depth_cm","relocated_chamber_width_cm","relocated_gpse","relocated_gpsn","relocated_comments","data_comments","julian_time"
2006,"2006-04-10","PM1",NA,"DC","F","NST",14,"O",222748,1174648,NA,"NTRI06015",FALSE,"W",NA,NA,NA,NA,NA,NA,"REX","Emerging from sea","01:10:00","06-0009","VA2256","VA2230",NA,NA,0,0,0,0,NA,NA,NA,151.8,151.7,151.7,151.73,NA,115,115,115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"2 4 - cuts.
. 8 - 4 cuts.",94,14,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13248
2006,"2006-04-10","AM",NA,"DC","F","NST",17,"B",222507,1175237,NA,"NTRI06016",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13248
2006,"2006-04-11","AM",NA,"DC","F","NST",8,"O",223187,1173590,NA,"NTRI06017",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13249
2006,"2006-04-12","AM",NA,"DC","F","NST",22,"B",222119,1176218,NA,"NTRI06018",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13250
2006,"2006-04-15","AM",NA,"DC","F","NST",11,"O",222975,1174105,NA,"NTRI06019",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13253
2006,"2006-04-17","PM1",NA,"DC","F","NST",3,"O",223608,1172609,NA,"NTRI06020",FALSE,"W",NA,NA,NA,NA,NA,NA,"REC","Digging body pit","00:04:00","06-0010","VA8213","VA8214",NA,NA,0,0,0,0,"LC","LC","tagged when digging body pit.",152,151.9,152,151.97,NA,107.1,107,107,107.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,95,12,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13255
2006,"2006-04-18","PM1",NA,"DC","F","NST",12,"O",222865,1174364,NA,"NTRI06021",FALSE,"SE",NA,NA,NA,NA,NA,NA,"REC","Oviposition","23:24:00","06-0011","VA8217","VA8218",NA,NA,0,0,1,0,"AB","AB",NA,152.7,152.6,152.7,152.67,NA,110,110,110,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"2 4 6 8 - bite marks
. when she came back to the water she laid 4 small eggs (vanos).",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13256
2006,"2006-04-19","AM",NA,"DC","F","NST",18,"O",222462,1175354,NA,"NTRI06022",FALSE,NA,NA,NA,NA,NA,NA,"not entirely sure if it's a nst might be an attempted nest.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13257
2006,"2006-04-19","PM1",NA,"DC","F","NST",21,"O",222200,1176030,NA,"NTRI06023",FALSE,"NW",NA,NA,NA,NA,NA,NA,"REX","Digging egg chamber","22:17:00","06-0012","79926","79927",NA,NA,NA,NA,NA,NA,NA,NA,NA,155.2,155.2,155.3,155.23,NA,113.8,113.7,113.7,113.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"2 5 8 - bite marks
. 3 & 5 - 2 cuts at the right back of the carapace",93,19,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13257
2006,"2006-04-21","AM",NA,"DC","F","NST",23,"O",222060,1176381,NA,"NTRI06024",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13259
