year,date_yyyy.mm.dd,survey,team,species,sex,activity_type,km_marker,beach_zone,gpse,gpsn,gps_accuracy_m,nest_id,egg_chamber_triangulated,direction_nesting,north_m,centre_m,south_m,htl_m,triangulated_by,activity_comments,record_type,encounter_activity,encounter_time_hh.mm.ss,turtle_id,right_tag,left_tag,removed_right_tag,removed_left_tag,right_oth_y_n,right_otn_y_n,left_oth_y_n,left_otn_y_n,right_tagger,left_tagger,tagging_comments,ccl_min1_cm,ccl_min2_cm,ccl_min3_cm,ccl_min_avg_cm,ccl_min_measured_by,ccw_max1_cm,ccw_max2_cm,ccw_max3_cm,ccw_max_avg_cm,ccw_max_measured_by,x1,x2,x3,x4,x5,x6,x7,x8,caudal_projection_complete,fibropapillomas,body_check_comments,number_yolked_eggs,number_yolkless_eggs,number_total_eggs,eggs_counted_by,egg_depth_cm,nest_depth_cm,relocated_km_marker,relocated_beach_zone,relocated_north_m,relocated_centre_m,relocated_south_m,relocated_htl_m,relocated_chamber_depth_cm,relocated_chamber_width_cm,relocated_gpse,relocated_gpsn,relocated_comments,data_comments,julian_time
2006,2006-04-19,AM,,DC,F,NST,18,O,222462,1175354,,NTRI06022,FALSE,,,,,,,not entirely sure if it's a nst might be an attempted nest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13257
2006,2006-04-19,PM1,,DC,F,NST,21,O,222200,1176030,,NTRI06023,FALSE,NW,,,,,,NA,REX,Digging egg chamber,22:17:00,06-0012,79926,79927,,,,,,,,,,155.2,155.2,155.3,155.23,,113.8,113.7,113.7,113.73,,,,,,,,,,TRUE,,"2 5 8 - bite marks. 3 & 5 - 2 cuts at the right back of the carapace",93,19,112,,,,,,,,,,,,,,,,13257
2006,2006-04-21,AM,,DC,F,NST,23,O,222060,1176381,,NTRI06024,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13259
2006,2006-04-21,AM,,DC,F,NST,23,O,222075,1176341,,NTRI06025,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13259
2006,2006-04-23,PM1,,CM,F,NST,3,V,223595,1172587,,NTRI06026,FALSE,,,,,,,nest found the next day at night survey so 1 day old.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13261
2006,2006-04-23,PM1,,CM,F,HLF,9,,223157,1173667,,,FALSE,,,,,,,halfmoon at water edge she stopped digging when water came up while she was digging the egg chamber.,,,01:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13261
2006,2006-04-24,AM,,DC,F,NST,18,O,222456,1175354,,NTRI06027,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13262
2006,2006-04-25,PM1,,DC,F,NST,7,O,223270,1173389,,NTRI06028,FALSE,W,,,,,,NA,REC,Selecting nest site,23:35:00,06-0013,VA8222,VA8223,,,,,,,KF,KF,,154.5,154.5,154.5,154.5,,110,110.2,110,110.07,,,,,,,,,,TRUE,,2 6 8 - bite marks,71,41,112,,,,,,,,,,,,,,,,13263
2006,2006-04-26,PM1,,EI,F,NST,16,O,222572,1175083,,NTRI06029,FALSE,,,,,,,NA,,,22:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13264
2006,2006-04-28,AM,,DC,F,HLF,17,,222498,1175262,,,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13266
